"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","RatioAll","Ratio6_7","Ratio15AndOver","Prev_AntigenAll","Prev_Antigen6_7","Prev_Antigen15AndOver","AgEradicated","AgPrevUnder001pc","AgPrevUnder01pc","AgPrevUnder1pc","PrevalenceAll","Prevalence6_7","Eradicated","PrevalenceFagalii","PrevalenceIliili","PrevUnder001pc","PrevUnder01pc","PrevUnder1pc"
"74",2010,"0.65",2,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.47583920338088,NA,6.46973514563503,0.0230385489473684,0,0.0316097873684211,0,0,0,0,0.00356702678947368,0,0,0.0332196815263158,0.00353677589473684,0,0,1
"75",2010,"0.65",3,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035532291,0,0,0.035748984,0.0033990612,0,0,1
"76",2010,"0.65",3,"DA2+","Default",1,2018,"0.0012-0.00032",6.55173468956768,NA,6.50428715640009,0.02311836,0,0.0316639318181818,0,0,0,0,0.003514848,0,0,0.0316157506363636,0.00357661124545455,0,0,1
"77",2010,"0.65",3,"DA2+","Default",1,2018,"0.0016-0.00035",6.46797503233425,NA,6.46511580136599,0.0230597115151515,0,0.0315979739393939,0,0,0,0,0.00358458648484848,0,0,0.0321923636969697,0.00355859034545455,0,0,1
"78",2010,"0.65",3,"DA2+","Default",1,2018,"0.002-0.00041",6.44250384952403,NA,6.46892229289322,0.0230610007692308,0,0.0316344553846154,0,0,0,0,0.00356554065384615,0,0,0.0322485140384615,0.00350547734615385,0,0,1
"79",2010,"0.65",3,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355600650485437,0,0,0.0343539929126214,0.00336387262135922,0,0,1
"80",2010,"0.65",3,"DA2+","Irvine",1,2018,"0.002-0.00041",6.48042191445147,NA,6.48977187532653,0.0230466254166667,0,0.03161423375,0,0,0,0,0.00355253954166667,0,0,0.0328441232083333,0.00339462691666667,0,0,1
"81",2010,"0.65",3,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00357074346938776,0,0,0.0347021367346939,0.0033087412244898,0,0,1
"82",2010,"0.65",3,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00358425836734694,0,0,0.0330496571428571,0.00350036673469388,0,0,1
"83",2010,"0.65",3,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355610774193548,0,0,0.032323364516129,0.00350345801612903,0,0,1
"84",2010,"0.65",3,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.45126532787803,NA,6.43691069553794,0.0231091618181818,0,0.0316893954545455,0,0,0,0,0.00359161090909091,0,0,0.0366948772727273,0.00344857009090909,0,0,1
"85",2010,"0.65",3,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.48936385532414,NA,6.47700945206453,0.023034296969697,0,0.0315540539393939,0,0,0,0,0.00355470709090909,0,0,0.0341798533939394,0.00356238418181818,0,0,1
"86",2010,"0.65",3,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.44511123417663,NA,6.43539093343284,0.0230822790983607,0,0.0316745696721311,0,0,0,0,0.00358017504098361,0,0,0.0347282059016393,0.00344159634016393,0,0,1
"87",2010,"0.65",3,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00363710983870968,0,0,0.03395585,0.00339744596774194,0,0,1
"88",2010,"0.65",3,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.41069205478114,NA,6.40642294487427,0.0230016610526316,0,0.0315183205263158,0,0,0,0,0.00357331994736842,0,0,0.0330279116315789,0.00351371352631579,0,0,1
"89",2010,"0.65",4,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035604041,0,0,0.0330769174,0.0033834113,0,0,1
"90",2010,"0.65",4,"DA2+","Default",1,2018,"0.0012-0.00032",6.54643241237195,NA,6.51276244341451,0.0230914336363636,0,0.0316394863636364,0,0,0,0,0.00355849736363636,0,0,0.0336032318181818,0.0035253947,0,0,1
"91",2010,"0.65",4,"DA2+","Default",1,2018,"0.0016-0.00035",6.49494159151121,NA,6.53107134872728,0.023051463030303,0,0.0316096339393939,0,0,0,0,0.00356373745454545,0,0,0.0333701333333333,0.00344857004242424,0,0,1
"92",2010,"0.65",4,"DA2+","Default",1,2018,"0.002-0.00041",6.43905703881437,NA,6.44072727497768,0.0231301028455285,0,0.0317263227642276,0,0,0,0,0.00357096020325203,0,0,0.0335571512195122,0.00352049056910569,0,0,1
"93",2010,"0.65",4,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00358047524271845,0,0,0.0356904116504854,0.00345503436893204,0,0,1
"94",2010,"0.65",4,"DA2+","Irvine",1,2018,"0.002-0.00041",6.44570571966857,NA,6.44309866053285,0.0229745766666667,0,0.03150691625,0,0,0,0,0.00356212079166667,0,0,0.0326923003333333,0.00355372952916667,0,0,1
"95",2010,"0.65",4,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00360040306122449,0,0,0.0343716381632653,0.00320015306122449,0,0,1
